Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Discharge,1816495876,,"Block melee and projectile attacks for up to {duration}s. Blocking an attack pulls the target toward you and grants one Storm Shield. Enemies triggering Discharge in close vicinity are stunned for {stunduration}s. Storm Shields circle around you, dealing {orbitdamage} magic damage and inflicting Static. Effect stacks up to {count} times.",Defensive,Storm,Storm; Defensive,,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismount,-230952990,,,,,Other,,,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismount,472850370,,Dismount your horse by jumping high into the air.,Movement,,Other,Movement,Movement,,,,,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismount,172828642,,,Movement,,Other,Movement,Movement,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominate Human,-1908054166,,Grants you the power to subdue the mind of enemy humans. You cannot use normal spells while using Dominate Human.,,Shapeshift,Shapeshift,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominate Mount,589136658,,Grants you commanding abilities allowing you to turn horses into your eternal companions. You cannot use normal spells while using Subdue.,,Shapeshift,Shapeshift,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula Spell Stone Orbiting Blood,-1552626046,,,,,Other,,CloseRange,,,,,120,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadhorn Target Switch,-1450279612,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual Hammers Thunderclap,1600917906,,"Leap into the air, deal damage and slow all nearby enemies when landing. Grants frenzy or consumes frenzy to deal additional damage and knock enemies back further.",Secondary,,Movement,Movement,,,,,,9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthshatter,-1130363778,,Slam the ground to launch a shockwave dealing {damage} siege damage. Can be used to break walls & structures.,Projectile,,Other,Projectile,Aimed,,,,,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eisblock,1887600892,,,Ultimate,Frost,Frost; Ultimate,AoE; Heal,,Tier3,,,,120,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Beast T01,-2024596663,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Blasphemous T01,-759138830,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Crow T01,248404806,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Prowler T01,1454652495,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Raven T01,1357870002,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Twisted T01,-591813536,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Werewolf T01,-332244204,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elusive Strike,-1545438316,,Dash back and forth slashing at your enemies dealing %70 physical damage and inflicting a 2s fading snare on each hit.,Secondary,,Other,Movement,CloseRange,,,,,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery Elemental Awake,-992391256,,,,,,,,,,,,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery Elemental Fall Asleep Buff,261951503,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Buff,,Buff,Buff,,,,,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Emery Elemental Leap,488481150,,"Leap into the air and strike down at target location, dealing {damage} magic damage. A nova of frost erupts from the impact location that Freezes any enemy hit for up to {duration}s. Enemy vampires are frozen for {vampireduration}s.",Movement,,Movement,Movement,Aimed,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery Elemental Melee Attack,1903010945,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,0.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Emery Elemental Rollout,1262525269,,,Movement,,Movement,Movement,CloseRange,,,,,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery Elemental Self Detonate,2110769437,,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery Golem Fall Asleep Buff,2080406227,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Buff,,Buff,Buff,,,,,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Emery Golem Ground Slam,107764414,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Movement,,Movement,Movement,CloseRange,,,,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery Golem Melee Attack,-705534828,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Emery Golem Rock Slam,-1882115765,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Movement,,Movement; Projectile,Movement; Projectile,Aimed,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emote Vampire Sit,808904257,,Rest your legs for a moment.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Emote Vampire Walk,1489736348,,,,,Other,,,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Enchanted Cross Light Wave,-401259144,,,Projectile,,Other,Projectile,Aimed,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy Looting Disabled,1039955663,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entangling Whip,-313732628,,Strike in a line dealing %100 physical damage and inflicting a 2s entangle.,Secondary,,Other,AoE,CloseRange,,,,,10,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter,2024460612,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter,-2136524530,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter Farbane Woods,1687099904,,,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit,-739563600,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Form,1546717070,,Hold to cast to transform back into Vampire form ending the siege.,,,Other,,,,,,,1.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explosive Bullet,66606146,,Perform a dodge roll followed by firing an explosive bullet dealing %25 physical damage. The bullet explodes after 3s dealing %125 physical damage in an area and knocking nearby enemies back.,Secondary,,Other,Projectile,,,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expose Vein,-1648128560,,"Expose your neck allowing other vampires to consume half of your current blood pool thus replacing their own blood amount, quality and type to same as yours.",,Shapeshift,Shapeshift,,,,,,,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expose Vein,-79785701,,"Expose your neck allowing other vampires to consume half of your current blood pool thus replacing their own blood amount, quality and type to same as yours.",,,Other,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exquisite Heart,-245435862,,"Refined into Primal Blood Essence by using a Advanced Blood Press. Can also be consumed to gain a small amount of blood, alters your blood type to frailed.",Heal,,Other,Heal,,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of the Storm,1870875931,,Knockback nearby enemies and conjure a thunderstorm around you. Lightning bolts strike down in the surrounding area dealing {damage} magic damage and inflicts Static. The storm rages on for {duration}s and lightning strikes the area {count} times over the duration.,Ultimate,Storm,Storm; Ultimate,AoE,CloseRange,,,,,120,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of Twilight,-857675545,,Once constructed the Eye of Twilight allows you to see the current location of Soul Shards. Only one of each type of soul shard exists on a PvP server while on a PvE server there may exist multiple instances.,,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of Twilight,-1337273957,,Once constructed the Eye of Twilight allows you to see the current location of Soul Shards. Only one of each type of soul shard exists on a PvP server while on a PvE server there may exist multiple instances.,,,Other,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan The Hammer,760344149,,"Fire 5 bullets in a cone over 1.5s, each bullet deals %25 physical damage and knocks the target back.",Secondary,,Other,Projectile,,,,,,8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,1586616867,,,Melee,,Other,Melee,SelfCast,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,-2068632541,,,Melee,,Other,Melee,SelfCast,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Feed,-1365570044,,,Melee,,Other,Melee,SelfCast,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,-1278121774,,,Melee,,Other,Melee,SelfCast,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,1548379114,,,,,Other,,CloseRange,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Feed,-1560986745,,,,,Other,,,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Feed,-376210658,,,,,Other,,,,,,,10,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Feed,-1446310610,,,,,Other,,,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,-1565434117,,,,,Other,,,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,1393329717,,,Heal,,Other,Heal,CloseRange,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,-578672354,,,,,Other,,CloseRange,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,2072201164,,,Heal,,Other,Heal,CloseRange,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,253163764,,,,,Other,,,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,117247654,,,,,Other,,CloseRange,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,-1347356700,,,,,Other,,,,,,,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Feed Boss Feed On Dracula 01 Initiate,1790847128,,,Heal,,Other,Heal,CloseRange,,,,,10,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Feed Friendly 01 Initiate,1501158829,,,,,Other,,,,,,,10,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishing,-1245963301,,"Hover over bubbly sparkling water to start fishing. Then, wait for the right moment and trigger it again to catch a fish or something else.",,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishing,2122998237,,"Hover over bubbly sparkling water to start fishing. Then, wait for the right moment and trigger it again to catch a fish or something else.",,,Other,,CloseRange,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishing,-1016182556,,"Hover over bubbly sparkling water to start fishing. Then, wait for the right moment and trigger it again to catch a fish or something else.",,,Other,,,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Hook Group UNUSED,-249023543,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Lunge Group UNUSED,1685753538,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman On Aggro,530843430,,,,,,,,,,,,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Side Step Back,-153669671,,,,,,,,,,,,1,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Side Step Left,680715401,,,,,,,,,,,,1,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Side Step Right,30220474,,,,,,,,,,,,1,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footman Swing Group UNUSED,-588647240,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenzy,-1968364229,,Dash forward and strike the first enemy dealing {Damage} physical damage. Enter a state of frenzy that increases your movement speed by {MovementSpeed} and attack speed by {attackspeed} for {duration}s on a successful hit.,Secondary,,Other,Movement,CloseRange,,,,,8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Barrier,1293609465,,Block melee and projectile attacks in front of you for {duration}s. Conjures up to {count} frost spikes dealing {damage} magic damage and inflicting Chill when the barrier is struck. Recast during the effect to conjure a cone of cold dealing {conedamage} magical damage and inflicting Chill.,Defensive,Frost,Frost; Defensive,AoE,SelfCast,Tier2,,,,11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Barrier,-1198075389,,Block melee and projectile attacks in front of you for {duration}s. Conjures up to {count} frost spikes dealing {damage} magic damage and inflicting Chill when the barrier is struck. Recast during the effect to conjure a cone of cold dealing {conedamage} magical damage and inflicting Chill.,,Frost,Other,,CloseRange,,,,,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Bat,78384915,,"Launch a projectile that that deals {damage} magic damage. The projectile explodes upon impact, inflicting Chill on nearby enemies. Hitting a Chilled enemy Freezes it for {duration}s.",Offensive,Frost,Frost; Offensive,Projectile,Aimed,Tier1,,,,8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Cone,1119012588,,Channel a wave of frost over {duration}s dealing {damage} magic damage and inflicting Chill. Conjures a cone of cold at the end of the effect Freezing any target hit for {freezeduration}s.,SpellSlot1,Frost,Projectile,Projectile,SelfCast,Tier2,,,,9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallop,-1360906203,,"Increases the movement speed while mounted, slowing down will cancel the effect.",,,Other,,Movement,,,,,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gargoyle Wing Shield,1460741503,,,Heal,,Heal,Heal,,,,,,0.5,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,EXPLOIT (blocked),EXPLOIT: immortality + heal (Gargoyle Wing Shield) - blocked 2026-06-05
Gargoyle Wing Shield Emerge Spawn,1529659981,,,Buff,,Other,Buff,SelfCast,,,,,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelenkter Pfeil,-149514613,,,Secondary,,Other,Projectile,Aimed,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Healing Orb,-1977998485,,,AoE,,Other,AoE; Heal,CloseRange,,,,,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Crow Corrupted Dash,1589627808,,,Movement,,Movement,Movement,Aimed,,,,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Crow Corrupted Peck,-1884419467,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,CloseRange,,,,,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glamour of Maria Renard,1937597415,,"Turn into a human allowing you to sneak around unnoticed in human settlements. Be careful though, the strong-willed can see through your disguise. While in human form you can interact with traders.",,Shapeshift,Shapeshift,,,,,,,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Golem Aggro Target,72734316,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Golem Awake,-1656534946,,,,,,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Golem Enrage,-963623992,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Buff,,Buff,Buff,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Golem Enrage Fist Slam,-645101263,,Perform a mighty fist slam dealing {damage} siege damage and inflicting a {duration}s stun. Can be used to break walls & structures.,Buff,,Buff,Buff,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Golem Fall Asleep Buff,-685952199,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Buff,,Buff,Buff,,,,,,15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,STUCK/CHAR-BREAK (blocked),STUCK: toggle-lock until Wake Up (Treant/Golem/Bear Fall Asleep) - tester v0.100
Gold Golem Melee Attack,1770841962,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,2,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: generic primary/melee auto-attack — evaluate whether worth collecting
Gold Golem Rock Slam,92820140,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Projectile,,Projectile,Projectile,Aimed,,,,,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandma Form,1167119356,,"Turn into a human allowing you to sneak around unnoticed in human settlements. Be carefull though, the strong-willed can see through your disguise. While in human form you can interact with traders. Human form greatly increases blood consumption rate.",,Shapeshift,Shapeshift,,,,,,,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Cleaver,-1181502209,,Charge forward and swing your great sword upward dealing {damage} physical damage in an area and launching enemies into the air for {duration}s.,Secondary,,Other,Movement,CloseRange,,,,,8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guise of the Flea Man,-34533844,,Turn into a toad able to jump high into the air. Taking damage breaks the effect.,,Shapeshift,Shapeshift,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpoon,830123499,,"Throw a spear that deals %90 physical damage, pulls the enemy towards you and inflict a 1.5s fading snare.",Secondary,,Other,Projectile,Aimed,,,,,8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Orb,-1329891521,,,Heal,,Other,Heal,,,,,,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Orb,1214299173,,,Heal,,Other,Heal,,,,,,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Strike,-1432604486,,Dash forward and strike enemies in a line. Deals %150 magic damage and heals self for %150 of your spell power over 3.5s. A nova of blood erupts when the effect ends dealing %150 magic damage and inflicting Leech to the victim and nearby enemies.,Ultimate,Blood,Blood; Ultimate,Heal,CloseRange,Tier3,,,,120,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hide,-1154891994,,,Movement,,Other,Movement,,,,,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hide,-188185340,,,,,Other,,,,,,,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Access,1137335620,,,,,Other,,,,,,,0.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Access Castle Heart,1473393531,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Access Castle Relocation,-650664522,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Claim Siege Power,-1803981405,,"Place the Siege Stone in an uncontested location. It takes 150s for the stone to activate. When activated you can interact with it to transform into a Siege Golem for up to 300s allowing you to break into stone structures. You can absorb a set amount of damage before the form breaks, the amount of damage you can absorb scales based on the health of the Siege Stone. Depending on server settings the placement of a Siege Stone may be announced to other players and may be visible for everyone on the map.",,,Other,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Claim Soul Shard,1654467658,,,,,Other,,,,,,,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Drag,4267150,,,,,Other,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Enter,-501592674,,,,,Other,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Equip Armour,-440165167,,,,,Other,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Extract Blood,-1695763915,,,Heal,,Other,Heal,CloseRange,,,,,10,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Extract Blood,1491658671,,,Heal,,Other,Heal,CloseRange,,,,,10,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold to Extract Blood,-948311829,,,Heal,,Other,Heal,CloseRange,,,,,10,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: feed lifecycle ability — likely non-functional for a player; verify then Hide/Block
Hold to Feed,391943159,,,,,Other,,,,,,,10,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
